[792, 612]
[headline, [91.0, 387.0, 433.0, 25.5], blPUoQuCT1, 6514398]
[paragraph, [388.0, 480.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 498.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 516.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 534.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 552.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 570.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 588.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [388.0, 606.0, 147.0, 18.0], ABMGw0jv0J, 6514398]
[paragraph, [280.0, 485.0, 98.0, 18.0], D7QXggrs44, 6514398]
[paragraph, [280.0, 503.0, 98.0, 18.0], D7QXggrs44, 6514398]
[paragraph, [280.0, 521.0, 98.0, 18.0], D7QXggrs44, 6514398]
[paragraph, [231.0, 540.0, 148.0, 18.0], F0GWQnw7IZ, 6514398]
[paragraph, [231.0, 558.0, 148.0, 18.0], F0GWQnw7IZ, 6514398]
[paragraph, [231.0, 576.0, 148.0, 18.0], F0GWQnw7IZ, 6514398]
[paragraph, [231.0, 594.0, 148.0, 18.0], F0GWQnw7IZ, 6514398]
