[2250, 1750]
[headline, [676.0, 1379.0, 470.0, 67.5], yNJ58Svcdx, 5752265]
[author, [818.0, 1469.0, 187.0, 36.0], GZt4kbLXCp, 5752265]
[author, [818.0, 1505.0, 187.0, 36.0], GZt4kbLXCp, 5752265]
[paragraph, [947.0, 1545.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1581.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1617.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1653.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1689.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1725.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1761.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1797.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1833.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1869.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1905.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1941.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [947.0, 1977.0, 711.0, 36.0], shoonya_1sDONRN8YQ112Q, 5752265]
[paragraph, [153.0, 1546.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1582.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1618.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1654.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1690.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1726.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1762.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1798.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1834.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1870.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1906.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1942.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
[paragraph, [153.0, 1978.0, 710.0, 36.0], shoonya_0s2FZI6JTRTT57, 5752265]
