[2806, 1984]
[paragraph, [324.0, 202.0, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 248.5, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 295.0, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 341.5, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 388.0, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 434.5, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 481.0, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 527.5, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 574.0, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[paragraph, [324.0, 620.5, 1438.0, 46.5], shoonya_0s3EMH1Q4C8ABV, 5698865]
[ordered-list, [209.0, 794.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 840.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 887.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 933.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 980.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1026.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1073.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1119.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1166.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1212.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1259.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1305.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1352.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1398.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1445.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1491.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1538.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1584.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1631.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1677.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1724.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1770.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1817.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1863.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1910.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 1956.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2003.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2049.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2096.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2142.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2189.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2235.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2282.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2328.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2375.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2421.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2468.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2514.5, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[ordered-list, [209.0, 2561.0, 1556.0, 46.5], shoonya_6sFLS722DBR94Y, 5698865]
[paragraph, [326.0, 1454.0, 1427.0, 46.5], cZm9JJpiA-, 5698865]
[paragraph, [326.0, 1500.5, 1427.0, 46.5], cZm9JJpiA-, 5698865]
[paragraph, [326.0, 1547.0, 1427.0, 46.5], cZm9JJpiA-, 5698865]
[paragraph, [326.0, 1593.5, 1427.0, 46.5], cZm9JJpiA-, 5698865]
