[1987, 1270]
[folio, [589.0, 123.0, 94.0, 36.0], shoonya_1sTZ1OP26R4VB9, 5683179]
[paragraph, [134.0, 191.0, 1009.0, 36.0], shoonya_3s1UMK166XGUM2, 5683179]
[paragraph, [134.0, 227.0, 1009.0, 36.0], shoonya_3s1UMK166XGUM2, 5683179]
[paragraph, [131.0, 298.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [131.0, 334.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [131.0, 370.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [131.0, 406.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [131.0, 442.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [131.0, 478.0, 1014.0, 36.0], shoonya_4sZ1FKGUJ8VBES, 5683179]
[paragraph, [180.0, 558.0, 955.0, 36.0], shoonya_5s8381PCNFT8WF, 5683179]
[paragraph, [127.0, 610.0, 1016.0, 36.0], shoonya_6sSHEW4NHX7QSP, 5683179]
[paragraph, [127.0, 646.0, 1016.0, 36.0], shoonya_6sSHEW4NHX7QSP, 5683179]
[paragraph, [126.0, 714.0, 1014.0, 36.0], shoonya_7sTG4519P7XK5F, 5683179]
[paragraph, [126.0, 750.0, 1014.0, 36.0], shoonya_7sTG4519P7XK5F, 5683179]
[paragraph, [124.0, 822.0, 1016.0, 36.0], shoonya_8sUGSPRSKP7RAU, 5683179]
[paragraph, [124.0, 858.0, 1016.0, 36.0], shoonya_8sUGSPRSKP7RAU, 5683179]
[paragraph, [126.0, 925.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 961.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 997.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 1033.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 1069.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 1105.0, 1017.0, 36.0], shoonya_9s2K18XNHUXYUC, 5683179]
[paragraph, [126.0, 1186.0, 1017.0, 36.0], shoonya_10sHRQC2SPY4CJ, 5683179]
[paragraph, [126.0, 1222.0, 1017.0, 36.0], shoonya_10sHRQC2SPY4CJ, 5683179]
[paragraph, [126.0, 1258.0, 1017.0, 36.0], shoonya_10sHRQC2SPY4CJ, 5683179]
[paragraph, [126.0, 1294.0, 1017.0, 36.0], shoonya_10sHRQC2SPY4CJ, 5683179]
[paragraph, [126.0, 1330.0, 1017.0, 36.0], shoonya_10sHRQC2SPY4CJ, 5683179]
[paragraph, [165.0, 1395.0, 639.0, 36.0], 37oGNbpoW1, 5683179]
[paragraph, [117.0, 1448.0, 1030.0, 36.0], UiWoCXvXz_, 5683179]
[paragraph, [117.0, 1484.0, 1030.0, 36.0], UiWoCXvXz_, 5683179]
[paragraph, [117.0, 1520.0, 1030.0, 36.0], UiWoCXvXz_, 5683179]
[paragraph, [117.0, 1556.0, 1030.0, 36.0], UiWoCXvXz_, 5683179]
[paragraph, [119.0, 1609.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1645.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1681.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1717.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1753.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1789.0, 1030.0, 36.0], zEbHEaS300, 5683179]
[paragraph, [119.0, 1825.0, 1030.0, 36.0], zEbHEaS300, 5683179]
