[2373, 1687]
[paragraph, [182.0, 181.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 217.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 253.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 289.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 325.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 361.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [182.0, 397.0, 1303.0, 36.0], shoonya_0sCYG0UD4R3VLX, 5656904]
[paragraph, [162.0, 463.0, 1320.0, 36.0], YHsDRLOcg5, 5656904]
[paragraph, [162.0, 499.0, 1320.0, 36.0], YHsDRLOcg5, 5656904]
[paragraph, [162.0, 535.0, 1320.0, 36.0], YHsDRLOcg5, 5656904]
[unordered-list, [181.0, 590.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 626.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 662.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 698.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 734.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 770.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 806.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[unordered-list, [181.0, 842.0, 1312.0, 36.0], tgct0qYVAg, 5656904]
[paragraph, [204.0, 932.0, 1278.0, 36.0], shoonya_4sFJPZCJKAUVIJ, 5656904]
[paragraph, [204.0, 968.0, 1278.0, 36.0], shoonya_4sFJPZCJKAUVIJ, 5656904]
[paragraph, [199.0, 1097.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1133.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1169.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1205.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1241.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1277.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [199.0, 1313.0, 1284.0, 36.0], shoonya_1sNIGINMXKXGD3, 5656904]
[paragraph, [203.0, 1451.0, 1281.0, 36.0], shoonya_2sJ95ASDWB9J4G, 5656904]
[paragraph, [203.0, 1487.0, 1281.0, 36.0], shoonya_2sJ95ASDWB9J4G, 5656904]
[paragraph, [203.0, 1523.0, 1281.0, 36.0], shoonya_2sJ95ASDWB9J4G, 5656904]
[unordered-list, [179.0, 1729.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1765.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1801.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1837.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1873.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1909.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1945.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 1981.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 2017.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
[unordered-list, [179.0, 2053.0, 1320.0, 36.0], shoonya_5sGP4HWBH6TH4M, 5656904]
