[567, 439]
[paragraph, [28.0, 49.0, 190.0, 18.0], shoonya_2s21BR7HO95091, 6459368]
[paragraph, [28.0, 67.0, 190.0, 18.0], shoonya_2s21BR7HO95091, 6459368]
[paragraph, [28.0, 85.0, 190.0, 18.0], shoonya_2s21BR7HO95091, 6459368]
[paragraph, [29.0, 106.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 124.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 142.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 160.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 178.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 196.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 214.0, 190.0, 18.0], shoonya_0s1IC5D9CROT9R, 6459368]
[paragraph, [29.0, 234.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 252.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 270.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 288.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 306.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 324.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 342.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 360.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 378.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 396.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 414.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 432.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [29.0, 450.0, 190.0, 18.0], shoonya_7sVKXSCDXBQTYE, 6459368]
[paragraph, [222.0, 266.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 284.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 302.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 320.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 338.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 356.0, 186.0, 18.0], shoonya_4sNBDAM54RRTZG, 6459368]
[paragraph, [222.0, 382.0, 188.0, 18.0], S-ZWT5JWqE, 6459368]
[paragraph, [222.0, 400.0, 188.0, 18.0], S-ZWT5JWqE, 6459368]
[paragraph, [217.0, 432.0, 190.0, 18.0], 6cWzuD2pdo, 6459368]
[paragraph, [217.0, 450.0, 190.0, 18.0], 6cWzuD2pdo, 6459368]
[paragraph, [217.0, 468.0, 190.0, 18.0], 6cWzuD2pdo, 6459368]
[paragraph, [217.0, 486.0, 190.0, 18.0], 6cWzuD2pdo, 6459368]
[paragraph, [217.0, 504.0, 190.0, 18.0], 6cWzuD2pdo, 6459368]
[paragraph, [27.0, 473.0, 192.0, 18.0], shoonya_3sLJSB6UBYA1DK, 6459368]
[paragraph, [27.0, 491.0, 192.0, 18.0], shoonya_3sLJSB6UBYA1DK, 6459368]
[paragraph, [27.0, 509.0, 192.0, 18.0], shoonya_3sLJSB6UBYA1DK, 6459368]
