[2164, 1427]
[folio, [153.0, 105.0, 164.0, 36.0], sdE_dJiPwI, 5654833]
[paragraph, [145.0, 220.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 256.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 292.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 328.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 364.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 400.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 436.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 472.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 508.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 544.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 580.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 616.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 652.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 688.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 724.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 760.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 796.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 832.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 868.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 904.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 940.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 976.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1012.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1048.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1084.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1120.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1156.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [145.0, 1192.0, 1207.0, 36.0], shoonya_0sW0V6YM2ONPKN, 5654833]
[paragraph, [147.0, 1259.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1295.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1331.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1367.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1403.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1439.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1475.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1511.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1547.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1583.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1619.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1655.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1691.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1727.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1763.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1799.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1835.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1871.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1907.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1943.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
[paragraph, [147.0, 1979.0, 1204.0, 36.0], shoonya_1sVJSW4MI8504M, 5654833]
