[1638, 1048]
[folio, [788.0, 102.0, 93.0, 36.0], 6Oi2DG9cti, 5681653]
[paragraph, [108.0, 162.0, 830.0, 36.0], shoonya_1sXNEEXILSH7DF, 5681653]
[paragraph, [108.0, 198.0, 830.0, 36.0], shoonya_1sXNEEXILSH7DF, 5681653]
[paragraph, [108.0, 248.0, 833.0, 36.0], 81x-4W_OmU, 5681653]
[paragraph, [108.0, 284.0, 833.0, 36.0], 81x-4W_OmU, 5681653]
[paragraph, [108.0, 320.0, 833.0, 36.0], 81x-4W_OmU, 5681653]
[paragraph, [105.0, 378.0, 838.0, 36.0], shoonya_0s7YHCJGZP03D5, 5681653]
[paragraph, [105.0, 414.0, 838.0, 36.0], shoonya_0s7YHCJGZP03D5, 5681653]
[paragraph, [109.0, 464.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 500.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 536.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 572.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 608.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 644.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 680.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 716.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 752.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 788.0, 836.0, 36.0], shoonya_3sKXGM37STOO6N, 5681653]
[paragraph, [109.0, 853.0, 834.0, 36.0], shoonya_2sRUP2IT59M4WW, 5681653]
[paragraph, [109.0, 889.0, 834.0, 36.0], shoonya_2sRUP2IT59M4WW, 5681653]
[paragraph, [110.0, 940.0, 833.0, 36.0], KFZeMu_71C, 5681653]
[paragraph, [110.0, 976.0, 833.0, 36.0], KFZeMu_71C, 5681653]
[paragraph, [110.0, 1012.0, 833.0, 36.0], KFZeMu_71C, 5681653]
[paragraph, [108.0, 1065.0, 835.0, 36.0], shoonya_4sBXTQSWE21G78, 5681653]
[paragraph, [108.0, 1101.0, 835.0, 36.0], shoonya_4sBXTQSWE21G78, 5681653]
[paragraph, [108.0, 1137.0, 835.0, 36.0], shoonya_4sBXTQSWE21G78, 5681653]
[paragraph, [108.0, 1173.0, 835.0, 36.0], shoonya_4sBXTQSWE21G78, 5681653]
[paragraph, [108.0, 1209.0, 835.0, 36.0], shoonya_4sBXTQSWE21G78, 5681653]
[paragraph, [110.0, 1284.0, 837.0, 36.0], h8J_OpJTuT, 5681653]
[paragraph, [110.0, 1320.0, 837.0, 36.0], h8J_OpJTuT, 5681653]
[paragraph, [110.0, 1371.0, 839.0, 36.0], nixm6psnrX, 5681653]
[paragraph, [110.0, 1407.0, 839.0, 36.0], nixm6psnrX, 5681653]
[paragraph, [108.0, 1456.0, 843.0, 36.0], _4muNqK-W0, 5681653]
[paragraph, [108.0, 1492.0, 843.0, 36.0], _4muNqK-W0, 5681653]
