[3509, 2482]
[folio, [874.0, 192.0, 505.0, 52.5], FbfX5FUnDV, 5691772]
[folio, [874.0, 244.5, 505.0, 52.5], FbfX5FUnDV, 5691772]
[paragraph, [263.0, 335.0, 731.0, 52.5], Majk9kFtqF, 5691772]
[paragraph, [209.0, 423.0, 997.0, 52.5], jBJZlg5euM, 5691772]
[paragraph, [179.0, 502.0, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 554.5, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 607.0, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 659.5, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 712.0, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 764.5, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [179.0, 817.0, 1904.0, 52.5], K-8cfyxc4N, 5691772]
[paragraph, [145.0, 887.0, 1957.0, 52.5], KaoQkyuihb, 5691772]
[paragraph, [145.0, 939.5, 1957.0, 52.5], KaoQkyuihb, 5691772]
[paragraph, [145.0, 992.0, 1957.0, 52.5], KaoQkyuihb, 5691772]
[paragraph, [145.0, 1044.5, 1957.0, 52.5], KaoQkyuihb, 5691772]
[paragraph, [254.0, 1129.0, 741.0, 52.5], ce-QkCfX3c, 5691772]
[paragraph, [142.0, 1208.0, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1260.5, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1313.0, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1365.5, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1418.0, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1470.5, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [142.0, 1523.0, 1877.0, 52.5], sIE7bS9mci, 5691772]
[paragraph, [214.0, 1591.0, 654.0, 52.5], UM8m3WOmUq, 5691772]
[paragraph, [164.0, 1677.0, 1883.0, 52.5], -9hngH0fcJ, 5691772]
[paragraph, [164.0, 1729.5, 1883.0, 52.5], -9hngH0fcJ, 5691772]
[paragraph, [164.0, 1782.0, 1883.0, 52.5], -9hngH0fcJ, 5691772]
[paragraph, [164.0, 1834.5, 1883.0, 52.5], -9hngH0fcJ, 5691772]
[paragraph, [130.0, 1919.0, 1960.0, 52.5], O0pH-arJ9D, 5691772]
[paragraph, [130.0, 1971.5, 1960.0, 52.5], O0pH-arJ9D, 5691772]
[paragraph, [130.0, 2024.0, 1960.0, 52.5], O0pH-arJ9D, 5691772]
[paragraph, [130.0, 2076.5, 1960.0, 52.5], O0pH-arJ9D, 5691772]
[paragraph, [167.0, 2147.0, 1889.0, 52.5], 4JPnGxGdYN, 5691772]
[paragraph, [167.0, 2199.5, 1889.0, 52.5], 4JPnGxGdYN, 5691772]
[paragraph, [167.0, 2252.0, 1889.0, 52.5], 4JPnGxGdYN, 5691772]
[paragraph, [257.0, 2308.0, 846.0, 52.5], Bu3Q-nE2aW, 5691772]
[paragraph, [179.0, 2382.0, 1892.0, 52.5], tni9yTlTuy, 5691772]
[paragraph, [179.0, 2434.5, 1892.0, 52.5], tni9yTlTuy, 5691772]
[paragraph, [179.0, 2487.0, 1892.0, 52.5], tni9yTlTuy, 5691772]
[paragraph, [215.0, 2547.0, 1034.0, 52.5], shoonya_0sCKFLNQ87VPWG, 5691772]
[paragraph, [198.0, 2631.0, 1112.0, 52.5], JOeODROFsw, 5691772]
[paragraph, [167.0, 2710.0, 1883.0, 52.5], fgcK2CmXBA, 5691772]
[paragraph, [167.0, 2762.5, 1883.0, 52.5], fgcK2CmXBA, 5691772]
[paragraph, [167.0, 2815.0, 1883.0, 52.5], fgcK2CmXBA, 5691772]
[paragraph, [167.0, 2867.5, 1883.0, 52.5], fgcK2CmXBA, 5691772]
[paragraph, [167.0, 2942.0, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 2994.5, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3047.0, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3099.5, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3152.0, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3204.5, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3257.0, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
[paragraph, [167.0, 3309.5, 1873.0, 52.5], 8QSpVpXxn9, 5691772]
