[2200, 1700]
[paragraph, [282.0, 83.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 119.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 155.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 191.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 227.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 263.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 299.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 335.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 371.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 407.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 443.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 479.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 515.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 551.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 587.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 623.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 659.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 695.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 731.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 767.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 803.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 839.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 875.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [282.0, 911.0, 1125.0, 36.0], shoonya_0s530QE6JB6JNH, 5730715]
[paragraph, [270.0, 994.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1030.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1066.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1102.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1138.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1174.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1210.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1246.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1282.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1318.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1354.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1390.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1426.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1462.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1498.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1534.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1570.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1606.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1642.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1678.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1714.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1750.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1786.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1822.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1858.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[paragraph, [270.0, 1894.0, 1112.0, 36.0], shoonya_1sRSHKOTTI2VOU, 5730715]
[folio, [918.0, 2047.0, 354.0, 36.0], N0wnZ3JzdQ, 5730715]
