[720, 504]
[folio, [371.0, 68.0, 81.0, 18.0], yLl5jA0vQZ, 5651254]
[paragraph, [60.0, 135.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 153.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 171.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 189.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 207.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 225.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 243.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [60.0, 261.0, 383.0, 18.0], shoonya_0s1Q9S0OVOH8GQ, 5651254]
[paragraph, [53.0, 291.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 309.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 327.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 345.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 363.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 381.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [53.0, 399.0, 393.0, 18.0], shoonya_1sZERFNO0B7D68, 5651254]
[paragraph, [61.0, 427.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 445.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 463.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 481.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 499.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 517.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [61.0, 535.0, 382.0, 18.0], shoonya_2sZE64G5CUS193, 5651254]
[paragraph, [55.0, 562.0, 390.0, 18.0], shoonya_3sD75F0KTFYPB0, 5651254]
[paragraph, [55.0, 580.0, 390.0, 18.0], shoonya_3sD75F0KTFYPB0, 5651254]
[paragraph, [55.0, 598.0, 390.0, 18.0], shoonya_3sD75F0KTFYPB0, 5651254]
[footnote, [205.0, 680.0, 88.0, 18.0], reJwUEENVG, 5651254]
