[690, 512]
[folio, [188.0, 37.0, 109.0, 18.0], pNuoiARkAW, 6491276]
[headline, [179.0, 72.0, 144.0, 25.5], R7AyYYEpu8, 6491276]
[author, [344.0, 109.0, 78.0, 18.0], -4Z3xEaHdN, 6491276]
[paragraph, [18.0, 139.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 157.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 175.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 193.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 211.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 229.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 247.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 265.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 283.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [18.0, 301.0, 222.0, 18.0], TK4tUpRb97, 6491276]
[paragraph, [244.0, 147.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 165.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 183.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 201.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 219.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 237.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 255.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 273.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 291.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 309.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 327.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 345.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 363.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 381.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 399.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [244.0, 417.0, 222.0, 18.0], i_djpCxx_Z, 6491276]
[paragraph, [18.0, 332.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 350.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 368.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 386.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 404.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 422.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [18.0, 440.0, 223.0, 18.0], shoonya_0s3Y0HIF4CH5RT, 6491276]
[paragraph, [245.0, 450.0, 223.0, 18.0], vRs92Vg-6r, 6491276]
[paragraph, [245.0, 468.0, 223.0, 18.0], vRs92Vg-6r, 6491276]
[paragraph, [245.0, 486.0, 223.0, 18.0], vRs92Vg-6r, 6491276]
[paragraph, [245.0, 504.0, 223.0, 18.0], vRs92Vg-6r, 6491276]
[paragraph, [245.0, 522.0, 223.0, 18.0], vRs92Vg-6r, 6491276]
[paragraph, [19.0, 466.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 484.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 502.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 520.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 538.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 556.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 574.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [19.0, 592.0, 222.0, 18.0], Q1JWEb-qF5, 6491276]
[paragraph, [244.0, 550.0, 223.0, 18.0], krpU6cdSOQ, 6491276]
[paragraph, [244.0, 568.0, 223.0, 18.0], krpU6cdSOQ, 6491276]
[paragraph, [244.0, 586.0, 223.0, 18.0], krpU6cdSOQ, 6491276]
[paragraph, [244.0, 604.0, 223.0, 18.0], krpU6cdSOQ, 6491276]
