[1518, 1075]
[folio, [443.0, 115.0, 80.0, 36.0], 0UopJl89s3, 5722320]
[paragraph, [81.0, 171.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 207.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 243.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 279.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 315.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 351.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 387.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 423.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 459.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 495.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 531.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 567.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 603.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 639.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 675.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 711.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 747.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 783.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 819.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 855.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 891.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [81.0, 927.0, 443.0, 36.0], shoonya_1sD4QVA2E1R2BT, 5722320]
[paragraph, [530.0, 172.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 208.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 244.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 280.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 316.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 352.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 388.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 424.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
[paragraph, [530.0, 460.0, 437.0, 36.0], shoonya_4sNJYT0YHMLL4A, 5722320]
