[1250, 859]
[chapter-title, [389.0, 43.0, 179.0, 30.0], shoonya_3sIHKK5L6N0QMA, 5776783]
[paragraph, [163.0, 82.0, 636.0, 18.0], shoonya_2s51QMZ0DOR44K, 5776783]
[paragraph, [163.0, 100.0, 636.0, 18.0], shoonya_2s51QMZ0DOR44K, 5776783]
[paragraph, [163.0, 118.0, 636.0, 18.0], shoonya_2s51QMZ0DOR44K, 5776783]
[paragraph, [163.0, 130.0, 637.0, 18.0], ZSOg1WuKnn, 5776783]
[paragraph, [163.0, 148.0, 637.0, 18.0], ZSOg1WuKnn, 5776783]
[paragraph, [163.0, 166.0, 637.0, 18.0], ZSOg1WuKnn, 5776783]
[paragraph, [162.0, 180.0, 637.0, 18.0], Qq_e0f0Y1q, 5776783]
[paragraph, [162.0, 198.0, 637.0, 18.0], Qq_e0f0Y1q, 5776783]
[paragraph, [186.0, 233.0, 163.0, 18.0], shoonya_7sFHYXVCHK0ZJV, 5776783]
[paragraph, [179.0, 257.0, 623.0, 18.0], shoonya_8s285VRO9B1ZH7, 5776783]
[paragraph, [161.0, 281.0, 645.0, 18.0], shoonya_6s4PFKT7U6FHCG, 5776783]
[paragraph, [161.0, 299.0, 645.0, 18.0], shoonya_6s4PFKT7U6FHCG, 5776783]
[paragraph, [161.0, 317.0, 645.0, 18.0], shoonya_6s4PFKT7U6FHCG, 5776783]
[paragraph, [159.0, 334.0, 642.0, 18.0], 6h50KkCxHe, 5776783]
[paragraph, [159.0, 352.0, 642.0, 18.0], 6h50KkCxHe, 5776783]
[paragraph, [163.0, 385.0, 631.0, 18.0], LWSYmUTCSK, 5776783]
[paragraph, [163.0, 403.0, 631.0, 18.0], LWSYmUTCSK, 5776783]
[paragraph, [163.0, 421.0, 631.0, 18.0], LWSYmUTCSK, 5776783]
[paragraph, [186.0, 435.0, 313.0, 18.0], shoonya_0sI1GO81ADGK0L, 5776783]
[paragraph, [187.0, 460.0, 559.0, 18.0], shoonya_9sOTZIUUYB8RAK, 5776783]
[paragraph, [187.0, 486.0, 368.0, 18.0], shoonya_5sOT7Y4DO3LZ5Q, 5776783]
[paragraph, [162.0, 511.0, 641.0, 18.0], shoonya_1s9LJHY728TMF6, 5776783]
[paragraph, [162.0, 529.0, 641.0, 18.0], shoonya_1s9LJHY728TMF6, 5776783]
[paragraph, [162.0, 547.0, 641.0, 18.0], shoonya_1s9LJHY728TMF6, 5776783]
[paragraph, [161.0, 555.0, 639.0, 18.0], shoonya_4sQQW7LVXKTLVT, 5776783]
[paragraph, [161.0, 573.0, 639.0, 18.0], shoonya_4sQQW7LVXKTLVT, 5776783]
[paragraph, [161.0, 591.0, 639.0, 18.0], shoonya_4sQQW7LVXKTLVT, 5776783]
[paragraph, [173.0, 612.0, 622.0, 18.0], R8d6IEtiHp, 5776783]
[paragraph, [163.0, 637.0, 634.0, 18.0], kFX0m9mE7n, 5776783]
[paragraph, [160.0, 664.0, 641.0, 18.0], 4mdpJ39241, 5776783]
[paragraph, [160.0, 682.0, 641.0, 18.0], 4mdpJ39241, 5776783]
[paragraph, [179.0, 713.0, 623.0, 18.0], vmJ7bdXbSZ, 5776783]
[paragraph, [185.0, 738.0, 363.0, 18.0], shoonya_11sXSMU2AO75U6, 5776783]
[paragraph, [165.0, 764.0, 637.0, 18.0], shoonya_10s5XCOWXPMX6T, 5776783]
[paragraph, [165.0, 782.0, 637.0, 18.0], shoonya_10s5XCOWXPMX6T, 5776783]
[paragraph, [163.0, 811.0, 639.0, 18.0], ymGPQ2tKg3, 5776783]
[paragraph, [163.0, 829.0, 639.0, 18.0], ymGPQ2tKg3, 5776783]
[paragraph, [163.0, 847.0, 639.0, 18.0], ymGPQ2tKg3, 5776783]
[paragraph, [163.0, 861.0, 639.0, 18.0], YBdtHnqrAY, 5776783]
[paragraph, [163.0, 879.0, 639.0, 18.0], YBdtHnqrAY, 5776783]
[paragraph, [163.0, 897.0, 639.0, 18.0], YBdtHnqrAY, 5776783]
[paragraph, [165.0, 914.0, 637.0, 18.0], R80G1AQiDO, 5776783]
[paragraph, [165.0, 932.0, 637.0, 18.0], R80G1AQiDO, 5776783]
[paragraph, [188.0, 961.0, 611.0, 18.0], Dd4EsFxceT, 5776783]
[paragraph, [163.0, 989.0, 638.0, 18.0], e0KsigVqJe, 5776783]
[paragraph, [163.0, 1007.0, 638.0, 18.0], e0KsigVqJe, 5776783]
[paragraph, [162.0, 1034.0, 640.0, 18.0], FZedUJHZ9b, 5776783]
[paragraph, [162.0, 1052.0, 640.0, 18.0], FZedUJHZ9b, 5776783]
[paragraph, [162.0, 1070.0, 640.0, 18.0], FZedUJHZ9b, 5776783]
