[1275, 750]
[section-title, [307.0, 70.0, 115.0, 30.0], shoonya_4sOKVRYNDK177D, 5767474]
[paragraph, [54.0, 140.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 158.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 176.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 194.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 212.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 230.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 248.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 266.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 284.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 302.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 320.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 338.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 356.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 374.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 392.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 410.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 428.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 446.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 464.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 482.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 500.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 518.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 536.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 554.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 572.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 590.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 608.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
[paragraph, [54.0, 626.0, 623.0, 18.0], shoonya_0sC3IMER8ZOAY2, 5767474]
