[1606, 1056]
[folio, [101.0, 101.0, 229.0, 36.0], KRIP2ZIXuq, 5684064]
[folio, [448.0, 101.0, 159.0, 36.0], shoonya_3sMWBKF76CCBBJ, 5684064]
[paragraph, [99.0, 272.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 308.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 344.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 380.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 416.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 452.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 488.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 524.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 560.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 596.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 632.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 668.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 704.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 740.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 776.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 812.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 848.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 884.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 920.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 956.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 992.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1028.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1064.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1100.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1136.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1172.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1208.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1244.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [99.0, 1280.0, 860.0, 36.0], shoonya_0sUXWX083OMZLJ, 5684064]
[paragraph, [98.0, 1323.0, 863.0, 36.0], 3gcWtO5JUO, 5684064]
[paragraph, [98.0, 1359.0, 863.0, 36.0], 3gcWtO5JUO, 5684064]
[paragraph, [98.0, 1395.0, 863.0, 36.0], 3gcWtO5JUO, 5684064]
[paragraph, [165.0, 1463.0, 789.0, 36.0], shoonya_4sR890HDGCL16G, 5684064]
