[622, 818]
[paragraph, [458.0, 89.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 107.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 125.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 143.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 161.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 179.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 197.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 215.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 233.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [458.0, 251.0, 298.0, 18.0], shoonya_1sQITBRG5MN71X, 5725646]
[paragraph, [60.0, 116.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 134.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 152.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 170.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 188.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 206.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 224.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 242.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 260.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 278.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 296.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 314.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 332.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 350.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 368.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 386.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 404.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 422.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 440.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 458.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 476.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 494.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 512.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [60.0, 530.0, 296.0, 18.0], shoonya_0sK766WRIJXXX5, 5725646]
[paragraph, [460.0, 315.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 333.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 351.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 369.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 387.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 405.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 423.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 441.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 459.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 477.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 495.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
[paragraph, [460.0, 513.0, 295.0, 18.0], shoonya_4s9248SLQWLXTY, 5725646]
