[863, 612]
[folio, [229.0, 149.0, 162.0, 18.0], 378xtD0-AY, 6460329]
[folio, [229.0, 167.0, 162.0, 18.0], 378xtD0-AY, 6460329]
[paragraph, [145.0, 198.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 216.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 234.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 252.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 270.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 288.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 306.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 324.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 342.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 360.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 378.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 396.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 414.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 432.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 450.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 468.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 486.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 504.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 522.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 540.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 558.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 576.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 594.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 612.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 630.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 648.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 666.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 684.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
[paragraph, [145.0, 702.0, 326.0, 18.0], shoonya_0s9R214ULGVP3V, 6460329]
