[1200, 825]
[paragraph, [129.0, 104.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 122.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 140.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 158.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 176.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 194.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 212.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 230.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 248.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 266.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 284.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 302.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 320.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 338.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 356.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 374.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [129.0, 392.0, 573.0, 18.0], shoonya_1s5JSF27PQ9ZKC, 5691378]
[paragraph, [126.0, 415.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 433.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 451.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 469.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 487.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 505.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 523.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 541.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 559.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 577.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 595.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 613.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 631.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 649.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 667.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 685.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 703.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 721.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 739.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 757.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 775.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 793.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 811.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 829.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 847.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 865.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 883.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 901.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 919.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 937.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 955.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 973.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 991.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 1009.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 1027.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
[paragraph, [126.0, 1045.0, 580.0, 18.0], shoonya_0sKVU2IVCKNXQG, 5691378]
