[3508, 2481]
[contact-info, [332.0, 90.0, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 142.5, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 195.0, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 247.5, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 300.0, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 352.5, 1818.0, 52.5], g-YqMegOqd, 6490913]
[contact-info, [332.0, 405.0, 1818.0, 52.5], g-YqMegOqd, 6490913]
[headline, [1038.0, 547.0, 335.0, 52.5], GgksHdYrdl, 6490913]
[headline, [1038.0, 599.5, 335.0, 52.5], GgksHdYrdl, 6490913]
[headline, [1038.0, 652.0, 335.0, 52.5], GgksHdYrdl, 6490913]
[dateline, [1831.0, 929.0, 450.0, 52.5], MmODz0TSfG, 6490913]
[dateline, [1831.0, 981.5, 450.0, 52.5], MmODz0TSfG, 6490913]
[paragraph, [174.0, 1206.0, 519.0, 52.5], LcSnK4BMfe, 6490913]
[paragraph, [202.0, 1318.0, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[paragraph, [202.0, 1370.5, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[paragraph, [202.0, 1423.0, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[paragraph, [202.0, 1475.5, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[paragraph, [202.0, 1528.0, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[paragraph, [202.0, 1580.5, 2086.0, 52.5], yMy1jAv0k0, 6490913]
[unordered-list, [258.0, 1719.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 1771.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 1824.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 1876.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 1929.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 1981.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2034.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2086.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2139.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2191.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2244.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2296.5, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[unordered-list, [258.0, 2349.0, 2086.0, 52.5], 3NUKIm42bB, 6490913]
[placeholder-text, [1784.0, 2739.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2757.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2775.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2793.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2811.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2829.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2847.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2865.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2883.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2901.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2919.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2937.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2955.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2973.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 2991.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 3009.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 3027.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[placeholder-text, [1784.0, 3045.0, 581.0, 18.0], FIDmC2qwgs, 6490913]
[contact-info, [192.0, 3259.0, 550.0, 52.5], 9wZIRYHhCV, 6490913]
[contact-info, [192.0, 3311.5, 550.0, 52.5], 9wZIRYHhCV, 6490913]
