[2334, 1650]
[paragraph, [289.0, 166.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [289.0, 202.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [289.0, 238.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [289.0, 274.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [289.0, 310.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [289.0, 346.0, 1155.0, 36.0], shoonya_1s7EL54OTAU75O, 5653057]
[paragraph, [291.0, 377.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 413.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 449.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 485.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 521.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 557.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 593.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 629.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 665.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 701.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 737.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 773.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 809.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 845.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 881.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 917.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 953.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 989.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1025.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1061.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1097.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1133.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1169.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1205.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1241.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1277.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1313.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1349.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1385.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1421.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1457.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1493.0, 1151.0, 36.0], shoonya_3sUV4Y336PI0CX, 5653057]
[paragraph, [291.0, 1541.0, 1150.0, 36.0], shoonya_2sU7IFNTL9V3YB, 5653057]
[paragraph, [291.0, 1577.0, 1150.0, 36.0], shoonya_2sU7IFNTL9V3YB, 5653057]
[paragraph, [291.0, 1613.0, 1150.0, 36.0], shoonya_2sU7IFNTL9V3YB, 5653057]
[paragraph, [291.0, 1649.0, 1150.0, 36.0], shoonya_2sU7IFNTL9V3YB, 5653057]
[paragraph, [289.0, 1707.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1743.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1779.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1815.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1851.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1887.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1923.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1959.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[paragraph, [289.0, 1995.0, 1155.0, 36.0], shoonya_0sIR8UG4IV6IAO, 5653057]
[folio, [369.0, 2098.0, 371.0, 36.0], aZ3aOTKyX-, 5653057]
