[1806, 1262]
[folio, [786.0, 95.0, 289.0, 36.0], shoonya_0sM5YKY40C7GZ5, 5681600]
[reference, [101.0, 162.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 198.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 234.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 270.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 306.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 342.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 378.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 414.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 450.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 486.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 522.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 558.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 594.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 630.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 666.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 702.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 738.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 774.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 810.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 846.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 882.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 918.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 954.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 990.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1026.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1062.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1098.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1134.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1170.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1206.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1242.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1278.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1314.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1350.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1386.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1422.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1458.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1494.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1530.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1566.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1602.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1638.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
[reference, [101.0, 1674.0, 1083.0, 36.0], shoonya_1sEL1UX4OO0IZ6, 5681600]
