[1518, 1075]
[folio, [550.0, 114.0, 75.0, 36.0], o3qthyYNAP, 5722689]
[paragraph, [114.0, 168.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 204.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 240.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 276.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 312.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 348.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 384.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 420.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 456.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 492.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 528.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 564.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 600.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 636.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 672.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 708.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [114.0, 744.0, 425.0, 36.0], shoonya_0sH2QMMF315Z0I, 5722689]
[paragraph, [557.0, 174.0, 428.0, 36.0], shoonya_7sATRG561SYYNQ, 5722689]
[paragraph, [553.0, 262.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 298.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 334.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 370.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 406.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 442.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
[paragraph, [553.0, 478.0, 434.0, 36.0], shoonya_3sEOK5LIQRL28Y, 5722689]
