[1200, 825]
[paragraph, [142.0, 108.0, 542.0, 18.0], dwchiY2WYu, 5690882]
[paragraph, [142.0, 126.0, 542.0, 18.0], dwchiY2WYu, 5690882]
[paragraph, [142.0, 144.0, 542.0, 18.0], dwchiY2WYu, 5690882]
[paragraph, [140.0, 171.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 189.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 207.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 225.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 243.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 261.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 279.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 297.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 315.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 333.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 351.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 369.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 387.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 405.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 423.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 441.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 459.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 477.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 495.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 513.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 531.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 549.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 567.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 585.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 603.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 621.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 639.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 657.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 675.0, 545.0, 18.0], shoonya_1sU4HZ430R0Y1I, 5690882]
[paragraph, [140.0, 693.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 711.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 729.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 747.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 765.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 783.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 801.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 819.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 837.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 855.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [140.0, 873.0, 544.0, 18.0], shoonya_0sQTZ01GLKK53B, 5690882]
[paragraph, [136.0, 908.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 926.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 944.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 962.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 980.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 998.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 1016.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
[paragraph, [136.0, 1034.0, 548.0, 18.0], shoonya_2s1HE13NQG4HQ3, 5690882]
