[2200, 1700]
[folio, [772.0, 382.0, 157.0, 36.0], ON8QiFigBm, 5731840]
[paragraph, [462.0, 473.0, 791.0, 36.0], shoonya_0s6ZQG82JPERKK, 5731840]
[paragraph, [462.0, 509.0, 791.0, 36.0], shoonya_0s6ZQG82JPERKK, 5731840]
[paragraph, [462.0, 545.0, 791.0, 36.0], shoonya_0s6ZQG82JPERKK, 5731840]
[paragraph, [462.0, 581.0, 791.0, 36.0], shoonya_0s6ZQG82JPERKK, 5731840]
[paragraph, [462.0, 659.0, 790.0, 36.0], shoonya_6s7YFSUI1LM26W, 5731840]
[paragraph, [462.0, 695.0, 790.0, 36.0], shoonya_6s7YFSUI1LM26W, 5731840]
[paragraph, [462.0, 731.0, 790.0, 36.0], shoonya_6s7YFSUI1LM26W, 5731840]
[paragraph, [462.0, 767.0, 790.0, 36.0], shoonya_6s7YFSUI1LM26W, 5731840]
[paragraph, [511.0, 839.0, 663.0, 36.0], ZIvzqNNdd3, 5731840]
[paragraph, [511.0, 875.0, 663.0, 36.0], ZIvzqNNdd3, 5731840]
[paragraph, [511.0, 911.0, 663.0, 36.0], ZIvzqNNdd3, 5731840]
[paragraph, [459.0, 965.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1001.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1037.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1073.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1109.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1145.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1181.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [459.0, 1217.0, 806.0, 36.0], cX8FHqT1rN, 5731840]
[paragraph, [461.0, 1269.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1305.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1341.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1377.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1413.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1449.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1485.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1521.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1557.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1593.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1629.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1665.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[paragraph, [461.0, 1701.0, 790.0, 36.0], lJmM33TcFS, 5731840]
[footnote, [1302.0, 2019.0, 227.0, 36.0], jGoYfNKYmN, 5731840]
[footnote, [1302.0, 2055.0, 227.0, 36.0], jGoYfNKYmN, 5731840]
[folio, [793.0, 2095.0, 202.0, 36.0], tyDsWSjDQ_, 5731840]
[folio, [793.0, 2131.0, 202.0, 36.0], tyDsWSjDQ_, 5731840]
