[1755, 1240]
[headline, [403.0, 219.0, 448.0, 37.5], shoonya_9sETG6MEJG3UXN, 6471916]
[headline, [403.0, 256.5, 448.0, 37.5], shoonya_9sETG6MEJG3UXN, 6471916]
[paragraph, [440.0, 332.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 368.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 404.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 440.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 476.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 512.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 548.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 584.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [440.0, 620.0, 359.0, 36.0], shoonya_12sFT7EAILPPNV, 6471916]
[paragraph, [60.0, 337.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 373.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 409.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 445.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 481.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 517.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 553.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 589.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 625.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 661.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 697.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 733.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 769.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 805.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[paragraph, [60.0, 841.0, 370.0, 36.0], shoonya_0sFOUO41CC2CDR, 6471916]
[author, [1038.0, 619.0, 144.0, 36.0], shoonya_8s6S2ZH9FTESE2, 6471916]
[paragraph, [438.0, 681.0, 361.0, 36.0], shoonya_5s78O85P23X7A2, 6471916]
[paragraph, [438.0, 717.0, 361.0, 36.0], shoonya_5s78O85P23X7A2, 6471916]
[paragraph, [438.0, 753.0, 361.0, 36.0], shoonya_5s78O85P23X7A2, 6471916]
[paragraph, [438.0, 789.0, 361.0, 36.0], shoonya_5s78O85P23X7A2, 6471916]
[paragraph, [438.0, 825.0, 361.0, 36.0], shoonya_5s78O85P23X7A2, 6471916]
[sidebar, [818.0, 698.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 734.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 770.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 806.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 842.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 878.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 914.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 950.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 986.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1022.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1058.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1094.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1130.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1166.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1202.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1238.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[sidebar, [818.0, 1274.0, 340.0, 36.0], shoonya_3sQR8A1YEEJ6EH, 6471916]
[paragraph, [437.0, 870.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [437.0, 906.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [437.0, 942.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [437.0, 978.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [437.0, 1014.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [437.0, 1050.0, 361.0, 36.0], shoonya_6s0DF08SVQOUL2, 6471916]
[paragraph, [66.0, 901.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [66.0, 937.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [66.0, 973.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [66.0, 1009.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [66.0, 1045.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [66.0, 1081.0, 359.0, 36.0], shoonya_2sHOEEC02OAK74, 6471916]
[paragraph, [439.0, 1118.0, 362.0, 36.0], shoonya_10sYZTLMQ0N9MW, 6471916]
[paragraph, [439.0, 1154.0, 362.0, 36.0], shoonya_10sYZTLMQ0N9MW, 6471916]
[paragraph, [439.0, 1190.0, 362.0, 36.0], shoonya_10sYZTLMQ0N9MW, 6471916]
[paragraph, [439.0, 1226.0, 362.0, 36.0], shoonya_10sYZTLMQ0N9MW, 6471916]
[paragraph, [439.0, 1262.0, 362.0, 36.0], shoonya_10sYZTLMQ0N9MW, 6471916]
