[2200, 1700]
[ordered-list, [303.0, 76.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 112.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 148.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 184.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 220.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 256.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 292.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 328.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 364.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 400.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 436.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 472.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 508.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 544.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 580.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 616.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 652.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 688.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 724.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 760.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 796.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[ordered-list, [303.0, 832.0, 1084.0, 36.0], shoonya_1sH42US1D2X257, 5730877]
[folio, [301.0, 2019.0, 352.0, 36.0], JtD_s6pIkl, 5730877]
