[2339, 1654]
[folio, [101.0, 60.0, 327.0, 36.0], 1-3pzUIg83, 5750836]
[paragraph, [105.0, 109.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 145.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 181.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 217.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 253.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 289.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 325.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 361.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 397.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 433.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 469.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 505.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 541.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 577.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 613.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 649.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 685.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 721.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 757.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 793.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 829.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 865.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 901.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 937.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 973.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1009.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1045.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1081.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1117.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1153.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1189.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1225.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1261.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1297.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1333.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1369.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [105.0, 1405.0, 1455.0, 36.0], shoonya_0sMUQWW6SITNK7, 5750836]
[paragraph, [233.0, 1448.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1484.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1520.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1556.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1592.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1628.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1664.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1700.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[paragraph, [233.0, 1736.0, 1204.0, 36.0], aXYpq417bq, 5750836]
[reference, [963.0, 1799.0, 438.0, 36.0], shoonya_2sFFWEKG7HKIYK, 5750836]
[paragraph, [102.0, 1859.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 1895.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 1931.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 1967.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2003.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2039.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2075.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2111.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2147.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
[paragraph, [102.0, 2183.0, 1489.0, 36.0], shoonya_1sPCA4MTXKX5MU, 5750836]
