[1275, 1650]
[folio, [221.0, 154.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 172.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 190.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 208.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 226.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 244.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 262.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 280.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[folio, [221.0, 298.0, 563.0, 18.0], shoonya_1s41DZCTWW9RW6, 5764887]
[sidebar, [140.0, 336.0, 131.0, 18.0], o4Cdhgl50j, 5764887]
[sidebar, [521.0, 338.0, 255.0, 18.0], vJ8HNZ4kJv, 5764887]
[sidebar, [624.0, 381.0, 152.0, 18.0], Gs-_qZB5xG, 5764887]
[second-level-question, [123.0, 429.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 447.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 465.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 483.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 501.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 519.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 537.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 555.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 573.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 591.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 609.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 627.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 645.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 663.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 681.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 699.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 717.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 735.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 753.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 771.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 789.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 807.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 825.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 843.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 861.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 879.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 897.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 915.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[second-level-question, [123.0, 933.0, 664.0, 18.0], 4CmLbWwhkL, 5764887]
[folio, [385.0, 1087.0, 249.0, 18.0], PDNpQ_rX_g, 5764887]
[folio, [385.0, 1105.0, 249.0, 18.0], PDNpQ_rX_g, 5764887]
