[595, 401]
[folio, [62.0, 52.0, 114.0, 18.0], 5ySx07ZwKm, 5711545]
[paragraph, [61.0, 82.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 100.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 118.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 136.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 154.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 172.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [61.0, 190.0, 281.0, 18.0], shoonya_1sH4NGWMB1TBRH, 5711545]
[paragraph, [62.0, 211.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 229.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 247.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 265.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 283.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 301.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 319.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [62.0, 337.0, 281.0, 18.0], shoonya_0sMKWA8V9MLQ4G, 5711545]
[paragraph, [85.0, 371.0, 244.0, 18.0], aGLNMB-ox-, 5711545]
[paragraph, [59.0, 401.0, 287.0, 18.0], O7GOe6ncHo, 5711545]
[paragraph, [59.0, 419.0, 287.0, 18.0], O7GOe6ncHo, 5711545]
[ordered-list, [83.0, 449.0, 194.0, 18.0], Ld0LjYk6hh, 5711545]
[ordered-list, [83.0, 467.0, 194.0, 18.0], Ld0LjYk6hh, 5711545]
[ordered-list, [83.0, 485.0, 194.0, 18.0], Ld0LjYk6hh, 5711545]
[ordered-list, [83.0, 503.0, 194.0, 18.0], Ld0LjYk6hh, 5711545]
[ordered-list, [83.0, 521.0, 194.0, 18.0], Ld0LjYk6hh, 5711545]
