[1755, 1241]
[folio, [522.0, 144.0, 544.0, 36.0], OfEdn_BCbs, 5760367]
[paragraph, [196.0, 230.0, 876.0, 36.0], shoonya_0sZO6G4X0255BP, 5760367]
[paragraph, [196.0, 266.0, 876.0, 36.0], shoonya_0sZO6G4X0255BP, 5760367]
[paragraph, [196.0, 302.0, 876.0, 36.0], shoonya_0sZO6G4X0255BP, 5760367]
[paragraph, [196.0, 338.0, 876.0, 36.0], shoonya_0sZO6G4X0255BP, 5760367]
[paragraph, [199.0, 380.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 416.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 452.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 488.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 524.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 560.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 596.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 632.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 668.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 704.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 740.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[paragraph, [199.0, 776.0, 875.0, 36.0], shoonya_2sC8NN8Y4A4SGK, 5760367]
[section-title, [198.0, 837.0, 623.0, 49.5], SQboWQSclA, 5760367]
[paragraph, [201.0, 900.0, 874.0, 36.0], qgLYJ7Gagf, 5760367]
[paragraph, [201.0, 936.0, 874.0, 36.0], qgLYJ7Gagf, 5760367]
[paragraph, [201.0, 972.0, 874.0, 36.0], qgLYJ7Gagf, 5760367]
[paragraph, [195.0, 1044.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1080.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1116.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1152.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1188.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1224.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1260.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1296.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1332.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1368.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1404.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [195.0, 1440.0, 876.0, 36.0], eO6XwUW1he, 5760367]
[paragraph, [193.0, 1481.0, 885.0, 36.0], qBNcRT2f2s, 5760367]
[paragraph, [193.0, 1517.0, 885.0, 36.0], qBNcRT2f2s, 5760367]
[paragraph, [193.0, 1553.0, 885.0, 36.0], qBNcRT2f2s, 5760367]
