[1754, 1241]
[paragraph, [213.0, 135.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 171.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 207.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 243.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 279.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 315.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 351.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 387.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 423.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 459.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 495.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 531.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 567.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 603.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 639.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 675.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 711.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 747.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 783.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 819.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 855.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 891.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 927.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 963.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 999.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 1035.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 1071.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [213.0, 1107.0, 884.0, 36.0], shoonya_1sDMIQD9OQ4ZNT, 5713922]
[paragraph, [201.0, 1180.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1216.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1252.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1288.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1324.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1360.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1396.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1432.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1468.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1504.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
[paragraph, [201.0, 1540.0, 916.0, 36.0], shoonya_2sNOC2FOW9X0B5, 5713922]
