[1723, 1092]
[paragraph, [107.0, 104.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 140.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 176.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 212.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 248.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 284.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 320.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 356.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 392.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 428.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 464.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 500.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 536.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 572.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 608.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 644.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[paragraph, [107.0, 680.0, 881.0, 36.0], shoonya_1sAKRDOE7TGYQR, 5680315]
[author, [809.0, 722.0, 176.0, 36.0], shoonya_2sOTMTEF881660, 5680315]
[paragraph, [111.0, 851.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 887.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 923.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 959.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 995.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1031.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1067.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1103.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1139.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1175.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1211.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1247.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1283.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1319.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1355.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1391.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1427.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1463.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[paragraph, [111.0, 1499.0, 870.0, 36.0], shoonya_0s8Y3H9703O4BS, 5680315]
[folio, [473.0, 1583.0, 137.0, 36.0], I93g2Su2f6, 5680315]
