[2520, 1740]
[folio, [24.0, 109.0, 190.0, 46.5], 1J-8yMcc66, 5694286]
[headline, [349.0, 178.0, 1390.0, 52.5], shoonya_22s8S7EWHJ7XKX, 5694286]
[headline, [349.0, 230.5, 1390.0, 52.5], shoonya_22s8S7EWHJ7XKX, 5694286]
[answer, [1143.0, 399.0, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 445.5, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 492.0, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 538.5, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 585.0, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 631.5, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 678.0, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 724.5, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 771.0, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [1143.0, 817.5, 533.0, 46.5], shoonya_2sGEK35ZCL6SMD, 5694286]
[answer, [135.0, 493.0, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 539.5, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 586.0, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 632.5, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 679.0, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 725.5, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 772.0, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 818.5, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 865.0, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [135.0, 911.5, 545.0, 46.5], shoonya_3sC7MCBSJR2HGD, 5694286]
[answer, [1148.0, 1038.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1084.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1131.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1177.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1224.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1270.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1317.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1363.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1410.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1456.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1503.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1549.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1596.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1642.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1689.0, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [1148.0, 1735.5, 531.0, 46.5], shoonya_6sGNJLVVNK0NYG, 5694286]
[answer, [126.0, 1130.0, 564.0, 46.5], shoonya_4sEVM3RZG3OC9K, 5694286]
[answer, [126.0, 1176.5, 564.0, 46.5], shoonya_4sEVM3RZG3OC9K, 5694286]
[answer, [126.0, 1223.0, 564.0, 46.5], shoonya_4sEVM3RZG3OC9K, 5694286]
