[3300, 2550]
[paragraph, [339.0, 277.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 329.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 382.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 434.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 487.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 539.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 592.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 644.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 697.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 749.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 802.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 854.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 907.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 959.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1012.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1064.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1117.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1169.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1222.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1274.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1327.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1379.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1432.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1484.5, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [339.0, 1537.0, 1952.0, 52.5], shoonya_1sXC2HH5AJKUJG, 5719924]
[paragraph, [347.0, 1635.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1687.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1740.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1792.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1845.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1897.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 1950.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2002.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2055.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2107.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2160.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2212.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2265.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2317.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2370.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2422.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2475.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2527.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2580.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2632.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2685.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2737.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2790.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2842.5, 1938.0, 52.5], HiMB0FMU8H, 5719924]
[paragraph, [347.0, 2895.0, 1938.0, 52.5], HiMB0FMU8H, 5719924]
