[842, 595]
[section-title, [234.0, 101.0, 145.0, 30.0], Q5-YqM0TKs, 5756662]
[ordered-list, [94.0, 204.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[ordered-list, [94.0, 222.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[ordered-list, [94.0, 240.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[ordered-list, [94.0, 258.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[ordered-list, [94.0, 276.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[ordered-list, [94.0, 294.0, 419.0, 18.0], TwS_gJE54J, 5756662]
[unordered-list, [115.0, 339.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 357.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 375.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 393.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 411.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 429.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[unordered-list, [115.0, 447.0, 394.0, 18.0], shoonya_0sUZO7MQBK4ML2, 5756662]
[subsub-section-title, [94.0, 518.0, 122.0, 15.0], i52zj3Z4kQ, 5756662]
[ordered-list, [88.0, 541.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 559.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 577.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 595.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 613.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 631.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 649.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 667.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 685.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 703.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[ordered-list, [88.0, 721.0, 289.0, 18.0], pSCmUNlsGO, 5756662]
[folio, [485.0, 810.0, 93.0, 18.0], shoonya_7sWF0IOKCQHE4H, 5756662]
