[792, 612]
[folio, [206.0, 52.0, 124.0, 18.0], JSroWt2Zw2, 6495014]
[paragraph, [157.0, 82.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 100.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 118.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 136.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 154.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 172.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 190.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 208.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 226.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 244.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 262.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 280.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 298.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 316.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 334.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 352.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 370.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 388.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 406.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 424.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 442.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 460.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 478.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 496.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [157.0, 514.0, 222.0, 18.0], O5SNLt7ylc, 6495014]
[paragraph, [166.0, 536.0, 213.0, 18.0], 2xoypFuAGE, 6495014]
[paragraph, [166.0, 554.0, 213.0, 18.0], 2xoypFuAGE, 6495014]
[paragraph, [166.0, 572.0, 213.0, 18.0], 2xoypFuAGE, 6495014]
[paragraph, [166.0, 590.0, 213.0, 18.0], 2xoypFuAGE, 6495014]
[paragraph, [164.0, 626.0, 195.0, 18.0], qOngXffJNO, 6495014]
[paragraph, [164.0, 644.0, 195.0, 18.0], qOngXffJNO, 6495014]
[paragraph, [172.0, 677.0, 95.0, 18.0], hgR96WmOmZ, 6495014]
[paragraph, [172.0, 695.0, 95.0, 18.0], hgR96WmOmZ, 6495014]
