[1387, 987]
[paragraph, [81.0, 85.0, 725.0, 18.0], BAV7ix_XX2, 5651819]
[paragraph, [81.0, 103.0, 725.0, 18.0], BAV7ix_XX2, 5651819]
[paragraph, [81.0, 121.0, 725.0, 18.0], BAV7ix_XX2, 5651819]
[paragraph, [51.0, 155.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 173.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 191.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 209.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 227.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 245.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 263.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 281.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 299.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [51.0, 317.0, 835.0, 18.0], shoonya_0s0EYR26KPFHM1, 5651819]
[paragraph, [44.0, 347.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [44.0, 365.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [44.0, 383.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [44.0, 401.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [44.0, 419.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [44.0, 437.0, 865.0, 18.0], rIv0evuFxZ, 5651819]
[paragraph, [49.0, 464.0, 505.0, 18.0], shoonya_3s5ZW2WCJM86FF, 5651819]
[paragraph, [49.0, 482.0, 505.0, 18.0], shoonya_3s5ZW2WCJM86FF, 5651819]
[paragraph, [49.0, 500.0, 505.0, 18.0], shoonya_3s5ZW2WCJM86FF, 5651819]
[paragraph, [66.0, 522.0, 596.0, 18.0], a6DUYiZCpj, 5651819]
[paragraph, [66.0, 540.0, 596.0, 18.0], a6DUYiZCpj, 5651819]
[paragraph, [66.0, 558.0, 596.0, 18.0], a6DUYiZCpj, 5651819]
[paragraph, [30.0, 597.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 615.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 633.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 651.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 669.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 687.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [30.0, 705.0, 952.0, 18.0], RauySqF7Vu, 5651819]
[paragraph, [51.0, 723.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 741.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 759.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 777.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 795.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 813.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 831.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 849.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 867.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 885.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 903.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 921.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 939.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 957.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 975.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 993.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1011.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1029.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1047.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1065.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1083.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1101.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1119.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1137.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1155.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1173.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1191.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1209.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1227.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1245.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
[paragraph, [51.0, 1263.0, 863.0, 18.0], shoonya_2sRGE7XZI0YFO2, 5651819]
