[792, 612]
[paragraph, [65.0, 72.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [65.0, 90.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [65.0, 108.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [65.0, 126.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [65.0, 144.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [65.0, 162.0, 478.0, 18.0], shoonya_0sZF3AE913HYQT, 5760259]
[paragraph, [64.0, 189.0, 480.0, 18.0], Ulq23ZaYrr, 5760259]
[paragraph, [64.0, 207.0, 480.0, 18.0], Ulq23ZaYrr, 5760259]
[paragraph, [65.0, 239.0, 475.0, 18.0], BZiq80CmSB, 5760259]
[paragraph, [65.0, 257.0, 475.0, 18.0], BZiq80CmSB, 5760259]
[paragraph, [65.0, 275.0, 475.0, 18.0], BZiq80CmSB, 5760259]
[paragraph, [65.0, 293.0, 475.0, 18.0], BZiq80CmSB, 5760259]
[paragraph, [64.0, 322.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 340.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 358.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 376.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 394.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 412.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 430.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 448.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 466.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 484.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 502.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 520.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 538.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 556.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 574.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 592.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 610.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 628.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 646.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 664.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 682.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
[paragraph, [64.0, 700.0, 478.0, 18.0], aW_gTF9nPk, 5760259]
