[1654, 1300]
[paragraph, [88.0, 82.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 118.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 154.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 190.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 226.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 262.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 298.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 334.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 370.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 406.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 442.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 478.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 514.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 550.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 586.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 622.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 658.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 694.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 730.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 766.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 802.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
[paragraph, [88.0, 838.0, 545.0, 36.0], shoonya_0s3DV5PESNL84E, 5713213]
