[2339, 1654]
[folio, [101.0, 70.0, 339.0, 36.0], yS1WcbNpyu, 5751230]
[paragraph, [217.0, 120.0, 785.0, 36.0], V5j7MuoMbv, 5751230]
[paragraph, [217.0, 156.0, 785.0, 36.0], V5j7MuoMbv, 5751230]
[reference, [1002.0, 184.0, 383.0, 36.0], shoonya_3sW1CBZWZE3CHE, 5751230]
[paragraph, [105.0, 247.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 283.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 319.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 355.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 391.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 427.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 463.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 499.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 535.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 571.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 607.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 643.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [105.0, 679.0, 1449.0, 36.0], shoonya_1sBMQPBS54T7SB, 5751230]
[paragraph, [248.0, 733.0, 1150.0, 36.0], qGcs3RhQaQ, 5751230]
[paragraph, [248.0, 769.0, 1150.0, 36.0], qGcs3RhQaQ, 5751230]
[paragraph, [248.0, 805.0, 1150.0, 36.0], qGcs3RhQaQ, 5751230]
[paragraph, [248.0, 841.0, 1150.0, 36.0], qGcs3RhQaQ, 5751230]
[paragraph, [248.0, 877.0, 1150.0, 36.0], qGcs3RhQaQ, 5751230]
[reference, [980.0, 925.0, 415.0, 36.0], shoonya_6sMG4FDRW999HN, 5751230]
[paragraph, [302.0, 1004.0, 155.0, 36.0], c6TfK-xGNo, 5751230]
[paragraph, [261.0, 1062.0, 1154.0, 36.0], bTOWjwV7BR, 5751230]
[paragraph, [261.0, 1098.0, 1154.0, 36.0], bTOWjwV7BR, 5751230]
[paragraph, [261.0, 1134.0, 1154.0, 36.0], bTOWjwV7BR, 5751230]
[reference, [955.0, 1178.0, 447.0, 36.0], 5DMGFhUYzk, 5751230]
[reference, [955.0, 1214.0, 447.0, 36.0], 5DMGFhUYzk, 5751230]
[paragraph, [105.0, 1248.0, 1452.0, 36.0], shoonya_8sQY9UTA4F7UUC, 5751230]
[paragraph, [105.0, 1284.0, 1452.0, 36.0], shoonya_8sQY9UTA4F7UUC, 5751230]
[paragraph, [105.0, 1320.0, 1452.0, 36.0], shoonya_8sQY9UTA4F7UUC, 5751230]
[paragraph, [105.0, 1356.0, 1452.0, 36.0], shoonya_8sQY9UTA4F7UUC, 5751230]
[paragraph, [105.0, 1392.0, 1452.0, 36.0], shoonya_8sQY9UTA4F7UUC, 5751230]
