[1754, 1241]
[folio, [157.0, 77.0, 938.0, 36.0], W2XHYIH931, 6476925]
[folio, [157.0, 113.0, 938.0, 36.0], W2XHYIH931, 6476925]
[ordered-list, [170.0, 174.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 210.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 246.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 282.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 318.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 354.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 390.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 426.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 462.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 498.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[ordered-list, [170.0, 534.0, 931.0, 36.0], fkmRhrmVMH, 6476925]
[sub-ordered-list, [206.0, 268.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 304.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 340.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 376.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 412.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 448.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 484.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[sub-ordered-list, [206.0, 520.0, 887.0, 36.0], 8S_sCgR9Jr, 6476925]
[ordered-list, [129.0, 600.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 636.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 672.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 708.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 744.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 780.0, 996.0, 36.0], x7spe3FG_c, 6476925]
[ordered-list, [129.0, 816.0, 996.0, 36.0], x7spe3FG_c, 6476925]
