[1755, 1240]
[folio, [621.0, 68.0, 503.0, 36.0], DFWDp3nhi-, 5743968]
[paragraph, [203.0, 209.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 245.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 281.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 317.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 353.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 389.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 425.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 461.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 497.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 533.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 569.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 605.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 641.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 677.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 713.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 749.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 785.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 821.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 857.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 893.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 929.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 965.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1001.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1037.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1073.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1109.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1145.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [203.0, 1181.0, 939.0, 36.0], yw3aqgmWOU, 5743968]
[paragraph, [199.0, 1246.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1282.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1318.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1354.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1390.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1426.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1462.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
[paragraph, [199.0, 1498.0, 935.0, 36.0], shoonya_1s9QZEH0ILQ4F2, 5743968]
