[2200, 1700]
[paragraph, [312.0, 86.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 122.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 158.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 194.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 230.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 266.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 302.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 338.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [312.0, 374.0, 1083.0, 36.0], shoonya_2s3070UOZ0PTYA, 5730740]
[paragraph, [310.0, 428.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [310.0, 464.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [310.0, 500.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [310.0, 536.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [310.0, 572.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [310.0, 608.0, 1094.0, 36.0], shoonya_3sSVC19BZLBDQT, 5730740]
[paragraph, [315.0, 656.0, 1079.0, 36.0], shoonya_0s3676KDDKA3RK, 5730740]
[paragraph, [315.0, 692.0, 1079.0, 36.0], shoonya_0s3676KDDKA3RK, 5730740]
[paragraph, [315.0, 728.0, 1079.0, 36.0], shoonya_0s3676KDDKA3RK, 5730740]
[paragraph, [309.0, 772.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 808.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 844.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 880.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 916.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 952.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 988.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1024.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1060.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1096.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1132.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1168.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1204.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1240.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1276.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1312.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1348.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1384.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1420.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1456.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1492.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1528.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1564.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1600.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1636.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [309.0, 1672.0, 1105.0, 36.0], jRSfZpele1, 5730740]
[paragraph, [329.0, 1728.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[paragraph, [329.0, 1764.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[paragraph, [329.0, 1800.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[paragraph, [329.0, 1836.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[paragraph, [329.0, 1872.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[paragraph, [329.0, 1908.0, 1081.0, 36.0], shoonya_1s1QVGGFGGAQXE, 5730740]
[folio, [819.0, 2023.0, 481.0, 36.0], w0mAcBy9B_, 5730740]
