[3300, 2550]
[paragraph, [341.0, 271.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 323.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 376.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 428.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 481.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 533.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 586.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 638.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 691.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 743.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 796.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 848.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 901.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 953.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1006.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1058.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1111.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1163.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1216.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1268.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1321.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1373.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1426.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1478.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1531.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1583.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1636.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1688.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1741.0, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [341.0, 1793.5, 1943.0, 52.5], fSEyIg0jMq, 5720597]
[paragraph, [366.0, 1896.0, 818.0, 52.5], shoonya_1sGVGJ57XIDC73, 5720597]
[paragraph, [338.0, 2001.0, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2053.5, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2106.0, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2158.5, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2211.0, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2263.5, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2316.0, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2368.5, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
[paragraph, [338.0, 2421.0, 1953.0, 52.5], Hc3E9L0sCv, 5720597]
