[1650, 1275]
[ordered-list, [159.0, 143.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 179.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 215.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 251.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 287.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 323.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 359.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 395.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 431.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 467.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 503.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 539.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 575.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 611.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 647.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 683.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 719.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 755.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 791.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 827.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[ordered-list, [159.0, 863.0, 989.0, 36.0], 6CqfdTtLka, 5781545]
[unordered-list, [250.0, 200.0, 840.0, 36.0], shoonya_0sDNV6RZWT7U06, 5781545]
[unordered-list, [250.0, 236.0, 840.0, 36.0], shoonya_0sDNV6RZWT7U06, 5781545]
[unordered-list, [250.0, 272.0, 840.0, 36.0], shoonya_0sDNV6RZWT7U06, 5781545]
[unordered-list, [250.0, 308.0, 840.0, 36.0], shoonya_0sDNV6RZWT7U06, 5781545]
[unordered-list, [250.0, 344.0, 840.0, 36.0], shoonya_0sDNV6RZWT7U06, 5781545]
[unordered-list, [247.0, 470.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [247.0, 506.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [247.0, 542.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [247.0, 578.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [247.0, 614.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [247.0, 650.0, 859.0, 36.0], pubVj8s7ic, 5781545]
[unordered-list, [243.0, 773.0, 873.0, 36.0], YwkQoZLSRs, 5781545]
[unordered-list, [243.0, 809.0, 873.0, 36.0], YwkQoZLSRs, 5781545]
[unordered-list, [243.0, 845.0, 873.0, 36.0], YwkQoZLSRs, 5781545]
[unordered-list, [243.0, 881.0, 873.0, 36.0], YwkQoZLSRs, 5781545]
[sub-section-title, [141.0, 985.0, 380.0, 36.0], xT3-Ij-Qu0, 5781545]
[unordered-list, [245.0, 1036.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1072.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1108.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1144.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1180.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1216.0, 879.0, 36.0], te01lzOrE1, 5781545]
[unordered-list, [245.0, 1252.0, 879.0, 36.0], te01lzOrE1, 5781545]
