[3509, 2480]
[paragraph, [420.0, 291.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 343.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 396.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 448.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 501.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 553.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 606.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 658.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 711.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 763.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 816.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 868.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 921.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 973.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1026.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1078.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1131.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1183.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1236.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1288.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1341.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1393.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1446.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1498.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1551.0, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
[paragraph, [420.0, 1603.5, 1836.0, 52.5], shoonya_0sQPJYQPP1ZP03, 5723805]
