[1754, 1241]
[folio, [145.0, 113.0, 190.0, 36.0], 95sfQKZ32k, 5746829]
[paragraph, [146.0, 155.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 191.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 227.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 263.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 299.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 335.0, 953.0, 36.0], shoonya_3sOVAY519DO0OQ, 5746829]
[paragraph, [146.0, 401.0, 951.0, 36.0], shoonya_4sYJE3OHHAT46Z, 5746829]
[paragraph, [146.0, 437.0, 951.0, 36.0], shoonya_4sYJE3OHHAT46Z, 5746829]
[paragraph, [146.0, 473.0, 951.0, 36.0], shoonya_4sYJE3OHHAT46Z, 5746829]
[paragraph, [146.0, 509.0, 951.0, 36.0], shoonya_4sYJE3OHHAT46Z, 5746829]
[paragraph, [142.0, 560.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 596.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 632.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 668.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 704.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 740.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 776.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [142.0, 812.0, 956.0, 36.0], shoonya_0s41YMCNDVRU2Z, 5746829]
[paragraph, [143.0, 906.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 942.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 978.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1014.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1050.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1086.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1122.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1158.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1194.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [143.0, 1230.0, 949.0, 36.0], shoonya_1s3MISXSY6ROBA, 5746829]
[paragraph, [141.0, 1294.0, 961.0, 36.0], shoonya_5s3TMEDFR0JXDU, 5746829]
[paragraph, [141.0, 1330.0, 961.0, 36.0], shoonya_5s3TMEDFR0JXDU, 5746829]
[paragraph, [141.0, 1366.0, 961.0, 36.0], shoonya_5s3TMEDFR0JXDU, 5746829]
[paragraph, [141.0, 1402.0, 961.0, 36.0], shoonya_5s3TMEDFR0JXDU, 5746829]
[paragraph, [141.0, 1438.0, 961.0, 36.0], shoonya_5s3TMEDFR0JXDU, 5746829]
