[2339, 1653]
[folio, [1003.0, 155.0, 483.0, 36.0], shoonya_0s1OITVV83JPHH, 5685407]
[paragraph, [360.0, 246.0, 1133.0, 36.0], shoonya_2sQU3KIFKHXG34, 5685407]
[paragraph, [360.0, 282.0, 1133.0, 36.0], shoonya_2sQU3KIFKHXG34, 5685407]
[paragraph, [360.0, 318.0, 1133.0, 36.0], shoonya_2sQU3KIFKHXG34, 5685407]
[paragraph, [360.0, 354.0, 1133.0, 36.0], shoonya_2sQU3KIFKHXG34, 5685407]
[paragraph, [367.0, 408.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 444.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 480.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 516.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 552.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 588.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [367.0, 624.0, 1126.0, 36.0], shoonya_3sDV553OXEIH7M, 5685407]
[paragraph, [371.0, 685.0, 1122.0, 36.0], shoonya_4sYLVZQ8YCAJ8G, 5685407]
[paragraph, [371.0, 721.0, 1122.0, 36.0], shoonya_4sYLVZQ8YCAJ8G, 5685407]
[paragraph, [371.0, 757.0, 1122.0, 36.0], shoonya_4sYLVZQ8YCAJ8G, 5685407]
[paragraph, [371.0, 793.0, 1122.0, 36.0], shoonya_4sYLVZQ8YCAJ8G, 5685407]
[ordered-list, [310.0, 844.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 880.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 916.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 952.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 988.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1024.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1060.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1096.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1132.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1168.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1204.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1240.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1276.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1312.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1348.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1384.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1420.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1456.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1492.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1528.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1564.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1600.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1636.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1672.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1708.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1744.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1780.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1816.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1852.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1888.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1924.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1960.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 1996.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[ordered-list, [310.0, 2032.0, 1187.0, 36.0], shoonya_5s6FWN90PU3KNK, 5685407]
[sub-ordered-list, [371.0, 1942.0, 1118.0, 36.0], shoonya_6s6309OH51S815, 5685407]
[sub-ordered-list, [371.0, 1978.0, 1118.0, 36.0], shoonya_6s6309OH51S815, 5685407]
[sub-ordered-list, [371.0, 2014.0, 1118.0, 36.0], shoonya_6s6309OH51S815, 5685407]
[sub-ordered-list, [371.0, 2050.0, 1118.0, 36.0], shoonya_6s6309OH51S815, 5685407]
