[1725, 1313]
[paragraph, [122.0, 140.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 176.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 212.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 248.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 284.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 320.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[paragraph, [122.0, 356.0, 526.0, 36.0], shoonya_3s9PHSB28PQFOY, 5771755]
[ordered-list, [661.0, 143.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[ordered-list, [661.0, 179.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[ordered-list, [661.0, 215.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[ordered-list, [661.0, 251.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[ordered-list, [661.0, 287.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[ordered-list, [661.0, 323.0, 530.0, 36.0], shoonya_5s0C1D400P87WT, 5771755]
[paragraph, [651.0, 395.0, 542.0, 36.0], -nK1VcKJzw, 5771755]
[paragraph, [651.0, 431.0, 542.0, 36.0], -nK1VcKJzw, 5771755]
[paragraph, [121.0, 401.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 437.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 473.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 509.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 545.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 581.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 617.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 653.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 689.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[paragraph, [121.0, 725.0, 528.0, 36.0], shoonya_2sYBDBQH4DV4EV, 5771755]
[ordered-list, [661.0, 462.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 498.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 534.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 570.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 606.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 642.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 678.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 714.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[ordered-list, [661.0, 750.0, 552.0, 36.0], shoonya_9sZMNNFQQK5EYE, 5771755]
[paragraph, [120.0, 788.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 824.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 860.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 896.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 932.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 968.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1004.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1040.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1076.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1112.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1148.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1184.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1220.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1256.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1292.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1328.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[paragraph, [120.0, 1364.0, 529.0, 36.0], shoonya_0sM4XUN7YXI5W5, 5771755]
[sub-section-title, [659.0, 853.0, 354.0, 36.0], kY5YdwMdr8, 5771755]
[paragraph, [662.0, 911.0, 527.0, 36.0], shoonya_1sV4J23HCWHGVC, 5771755]
[paragraph, [662.0, 947.0, 527.0, 36.0], shoonya_1sV4J23HCWHGVC, 5771755]
[paragraph, [662.0, 983.0, 527.0, 36.0], shoonya_1sV4J23HCWHGVC, 5771755]
[paragraph, [662.0, 1019.0, 527.0, 36.0], shoonya_1sV4J23HCWHGVC, 5771755]
