[2339, 1654]
[folio, [1314.0, 70.0, 227.0, 36.0], 8kIsxRMgL4, 5750528]
[paragraph, [124.0, 122.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 158.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 194.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 230.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 266.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 302.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [124.0, 338.0, 1414.0, 36.0], utNq5oQ5jX, 5750528]
[paragraph, [258.0, 387.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 423.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 459.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 495.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 531.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 567.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 603.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 639.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[paragraph, [258.0, 675.0, 1168.0, 36.0], shoonya_4sMAF0RHHGRICX, 5750528]
[reference, [978.0, 722.0, 406.0, 36.0], shoonya_3sVIX0FHBM4W55, 5750528]
[paragraph, [109.0, 784.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 820.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 856.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 892.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 928.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 964.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1000.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1036.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1072.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1108.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1144.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1180.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1216.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1252.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
[paragraph, [109.0, 1288.0, 1423.0, 36.0], shoonya_0sSGV8QL04BKG0, 5750528]
