[671, 419]
[folio, [172.0, 10.0, 82.0, 18.0], shoonya_0sRTZ430KV9Z71, 5748414]
[paragraph, [26.0, 50.0, 376.0, 18.0], bUVCke4A1v, 5748414]
[paragraph, [26.0, 68.0, 376.0, 18.0], bUVCke4A1v, 5748414]
[paragraph, [20.0, 99.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 117.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 135.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 153.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 171.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 189.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 207.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 225.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 243.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 261.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 279.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 297.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 315.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 333.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 351.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 369.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 387.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 405.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 423.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 441.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 459.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 477.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 495.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 513.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 531.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 549.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 567.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 585.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 603.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
[paragraph, [20.0, 621.0, 381.0, 18.0], QKZSxB_rnb, 5748414]
