[3509, 2480]
[paragraph, [366.0, 540.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 592.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 645.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 697.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 750.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 802.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 855.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 907.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 960.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1012.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1065.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1117.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1170.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1222.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1275.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1327.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1380.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1432.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1485.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1537.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1590.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1642.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1695.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1747.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1800.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1852.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1905.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 1957.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2010.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2062.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2115.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2167.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2220.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2272.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2325.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2377.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2430.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2482.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2535.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2587.5, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [366.0, 2640.0, 1757.0, 52.5], shoonya_0sPRNO53UQM8BH, 5724235]
[paragraph, [372.0, 2914.0, 1744.0, 52.5], shoonya_4s981R735NQBJH, 5724235]
[paragraph, [372.0, 2966.5, 1744.0, 52.5], shoonya_4s981R735NQBJH, 5724235]
[paragraph, [372.0, 3019.0, 1744.0, 52.5], shoonya_4s981R735NQBJH, 5724235]
[paragraph, [372.0, 3071.5, 1744.0, 52.5], shoonya_4s981R735NQBJH, 5724235]
