[3020, 1800]
[paragraph, [917.0, 399.0, 833.0, 52.5], awzNwEIfwV, 5694294]
[paragraph, [58.0, 407.0, 833.0, 52.5], shoonya_0sQKZFP3K0EYVQ, 5694294]
[paragraph, [63.0, 506.0, 828.0, 52.5], MZNKFDoEzG, 5694294]
[paragraph, [63.0, 558.5, 828.0, 52.5], MZNKFDoEzG, 5694294]
[paragraph, [63.0, 611.0, 828.0, 52.5], MZNKFDoEzG, 5694294]
[paragraph, [919.0, 510.0, 828.0, 52.5], Zy7NeWMW7F, 5694294]
[paragraph, [919.0, 562.5, 828.0, 52.5], Zy7NeWMW7F, 5694294]
[paragraph, [919.0, 615.0, 828.0, 52.5], Zy7NeWMW7F, 5694294]
[paragraph, [70.0, 701.0, 821.0, 52.5], TyJJ-jn0QS, 5694294]
[paragraph, [923.0, 701.0, 821.0, 52.5], aW1her1qrg, 5694294]
[paragraph, [67.0, 793.0, 823.0, 52.5], shoonya_14sF2FLUM5IPMX, 5694294]
[paragraph, [67.0, 845.5, 823.0, 52.5], shoonya_14sF2FLUM5IPMX, 5694294]
[paragraph, [67.0, 898.0, 823.0, 52.5], shoonya_14sF2FLUM5IPMX, 5694294]
[paragraph, [67.0, 950.5, 823.0, 52.5], shoonya_14sF2FLUM5IPMX, 5694294]
[paragraph, [921.0, 797.0, 823.0, 52.5], 2INBFC36CB, 5694294]
[paragraph, [919.0, 894.0, 823.0, 52.5], GfPoVpKRNR, 5694294]
[paragraph, [919.0, 946.5, 823.0, 52.5], GfPoVpKRNR, 5694294]
[paragraph, [919.0, 999.0, 823.0, 52.5], GfPoVpKRNR, 5694294]
[paragraph, [74.0, 1035.0, 818.0, 52.5], shoonya_7s4FVARHE251D9, 5694294]
[paragraph, [74.0, 1087.5, 818.0, 52.5], shoonya_7s4FVARHE251D9, 5694294]
[paragraph, [74.0, 1140.0, 818.0, 52.5], shoonya_7s4FVARHE251D9, 5694294]
[paragraph, [907.0, 1085.0, 835.0, 52.5], oJmtxr53qc, 5694294]
[paragraph, [907.0, 1137.5, 835.0, 52.5], oJmtxr53qc, 5694294]
[paragraph, [75.0, 1229.0, 816.0, 52.5], shoonya_12sO8HV8H1VNFN, 5694294]
[paragraph, [919.0, 1232.0, 833.0, 52.5], 8CKzb55R4E, 5694294]
[paragraph, [919.0, 1284.5, 833.0, 52.5], 8CKzb55R4E, 5694294]
[paragraph, [68.0, 1326.0, 823.0, 52.5], shoonya_11sO92WKEHU104, 5694294]
[paragraph, [68.0, 1378.5, 823.0, 52.5], shoonya_11sO92WKEHU104, 5694294]
[paragraph, [68.0, 1431.0, 823.0, 52.5], shoonya_11sO92WKEHU104, 5694294]
[paragraph, [917.0, 1378.0, 837.0, 52.5], ZimlqHD2U2, 5694294]
[paragraph, [917.0, 1430.5, 837.0, 52.5], ZimlqHD2U2, 5694294]
[paragraph, [917.0, 1483.0, 837.0, 52.5], ZimlqHD2U2, 5694294]
[paragraph, [73.0, 1517.0, 816.0, 52.5], shoonya_8s1HYI3F5PPKAC, 5694294]
[paragraph, [73.0, 1569.5, 816.0, 52.5], shoonya_8s1HYI3F5PPKAC, 5694294]
[paragraph, [73.0, 1622.0, 816.0, 52.5], shoonya_8s1HYI3F5PPKAC, 5694294]
[paragraph, [921.0, 1569.0, 833.0, 52.5], cetWwF5KoB, 5694294]
[paragraph, [921.0, 1621.5, 833.0, 52.5], cetWwF5KoB, 5694294]
[paragraph, [965.0, 1706.0, 405.0, 52.5], shoonya_13sO3CFRBZRNX5, 5694294]
[paragraph, [71.0, 1713.0, 818.0, 52.5], shoonya_16sNDPVCSFUNQC, 5694294]
[paragraph, [71.0, 1765.5, 818.0, 52.5], shoonya_16sNDPVCSFUNQC, 5694294]
[paragraph, [915.0, 1762.0, 834.0, 52.5], shoonya_6sNWF8QY0CU4TX, 5694294]
[paragraph, [915.0, 1814.5, 834.0, 52.5], shoonya_6sNWF8QY0CU4TX, 5694294]
[paragraph, [915.0, 1867.0, 834.0, 52.5], shoonya_6sNWF8QY0CU4TX, 5694294]
[paragraph, [73.0, 1860.0, 815.0, 52.5], shoonya_17s07MMTP9XCLN, 5694294]
[paragraph, [73.0, 1912.5, 815.0, 52.5], shoonya_17s07MMTP9XCLN, 5694294]
[paragraph, [918.0, 1957.0, 839.0, 52.5], shoonya_5sYQ0U981VW2IR, 5694294]
[paragraph, [918.0, 2009.5, 839.0, 52.5], shoonya_5sYQ0U981VW2IR, 5694294]
[paragraph, [918.0, 2062.0, 839.0, 52.5], shoonya_5sYQ0U981VW2IR, 5694294]
[paragraph, [70.0, 2002.0, 819.0, 52.5], shoonya_15sL085S194DNH, 5694294]
[paragraph, [70.0, 2054.5, 819.0, 52.5], shoonya_15sL085S194DNH, 5694294]
[paragraph, [68.0, 2147.0, 819.0, 52.5], shoonya_9sU1L8WBE0V4EF, 5694294]
[paragraph, [68.0, 2199.5, 819.0, 52.5], shoonya_9sU1L8WBE0V4EF, 5694294]
[paragraph, [68.0, 2252.0, 819.0, 52.5], shoonya_9sU1L8WBE0V4EF, 5694294]
[paragraph, [913.0, 2147.0, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2199.5, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2252.0, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2304.5, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2357.0, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2409.5, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [913.0, 2462.0, 831.0, 52.5], shoonya_3sVTSYGRI6PYVQ, 5694294]
[paragraph, [73.0, 2341.0, 820.0, 52.5], shoonya_4sNDRGH38FKARD, 5694294]
[paragraph, [73.0, 2393.5, 820.0, 52.5], shoonya_4sNDRGH38FKARD, 5694294]
[paragraph, [73.0, 2446.0, 820.0, 52.5], shoonya_4sNDRGH38FKARD, 5694294]
[paragraph, [73.0, 2498.5, 820.0, 52.5], shoonya_4sNDRGH38FKARD, 5694294]
[paragraph, [918.0, 2538.0, 819.0, 52.5], shoonya_1sJ21ECLQ38RZ8, 5694294]
[paragraph, [70.0, 2586.0, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [70.0, 2638.5, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [70.0, 2691.0, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [70.0, 2743.5, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [70.0, 2796.0, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [70.0, 2848.5, 819.0, 52.5], 1nmYDaa02b, 5694294]
[paragraph, [917.0, 2632.0, 818.0, 52.5], shoonya_2s6KW30SIDDPRR, 5694294]
[paragraph, [917.0, 2684.5, 818.0, 52.5], shoonya_2s6KW30SIDDPRR, 5694294]
[paragraph, [917.0, 2737.0, 818.0, 52.5], shoonya_2s6KW30SIDDPRR, 5694294]
[paragraph, [917.0, 2789.5, 818.0, 52.5], shoonya_2s6KW30SIDDPRR, 5694294]
