[1320, 1176]
[headline, [316.0, 167.0, 521.0, 25.5], shoonya_3sCTWV12V8F5V1, 5694665]
[headline, [316.0, 192.5, 521.0, 25.5], shoonya_3sCTWV12V8F5V1, 5694665]
[sub-headline, [382.0, 234.0, 407.0, 25.5], E6cwj1qx8d, 5694665]
[sub-headline, [382.0, 259.5, 407.0, 25.5], E6cwj1qx8d, 5694665]
[sub-headline, [382.0, 285.0, 407.0, 25.5], E6cwj1qx8d, 5694665]
[paragraph, [493.0, 346.0, 154.0, 18.0], lNFCqt5cfy, 5694665]
[paragraph, [313.0, 377.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[paragraph, [313.0, 395.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[paragraph, [313.0, 413.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[paragraph, [313.0, 431.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[paragraph, [313.0, 449.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[paragraph, [313.0, 467.0, 547.0, 18.0], UfjzKnXesW, 5694665]
[subsub-headline, [289.0, 565.0, 591.0, 22.5], hD7XR4AY5i, 5694665]
[paragraph, [264.0, 613.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 631.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 649.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 667.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 685.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 703.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 721.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 739.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 757.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 775.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 793.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 811.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 829.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[paragraph, [264.0, 847.0, 632.0, 18.0], shoonya_0sWDTB23QATS75, 5694665]
[author, [500.0, 928.0, 395.0, 18.0], jdhYfGJQGM, 5694665]
[author, [500.0, 946.0, 395.0, 18.0], jdhYfGJQGM, 5694665]
[author, [500.0, 964.0, 395.0, 18.0], jdhYfGJQGM, 5694665]
[author, [500.0, 982.0, 395.0, 18.0], jdhYfGJQGM, 5694665]
[author, [523.0, 1031.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[author, [523.0, 1049.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[author, [523.0, 1067.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[author, [523.0, 1085.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[author, [523.0, 1103.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[author, [523.0, 1121.0, 390.0, 18.0], mk4SYulTw_, 5694665]
[dateline, [287.0, 1071.0, 130.0, 64.5], lp0T_1buMd, 5694665]
