[792, 612]
[chapter-title, [170.0, 165.0, 146.0, 30.0], 9NU1aZcbtC, 6517397]
[paragraph, [174.0, 212.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 230.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 248.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 266.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 284.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 302.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 320.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 338.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 356.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 374.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 392.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 410.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 428.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 446.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 464.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 482.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
[paragraph, [174.0, 500.0, 300.0, 18.0], shoonya_0sUKJQZQ2NL6VW, 6517397]
