[1087, 691]
[paragraph, [72.0, 124.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 142.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 160.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 178.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 196.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 214.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 232.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 250.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 268.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 286.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 304.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 322.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 340.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [72.0, 358.0, 556.0, 18.0], shoonya_1sONB0NEZK9I2P, 5760337]
[paragraph, [73.0, 392.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 410.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 428.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 446.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 464.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 482.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 500.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 518.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 536.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 554.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 572.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 590.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 608.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 626.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 644.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 662.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 680.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 698.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 716.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 734.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 752.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 770.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 788.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 806.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 824.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 842.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 860.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 878.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 896.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
[paragraph, [73.0, 914.0, 558.0, 18.0], shoonya_0sE4AO32BAZW3J, 5760337]
