[1654, 1241]
[section-title, [108.0, 86.0, 331.0, 49.5], shoonya_0sAC3UDH8QZPKH, 6468688]
[sub-section-title, [114.0, 168.0, 1007.0, 36.0], ge0NH8YQkz, 6468688]
[paragraph, [190.0, 229.0, 917.0, 36.0], 2zcH4p5cjT, 6468688]
[paragraph, [190.0, 265.0, 917.0, 36.0], 2zcH4p5cjT, 6468688]
[sub-section-title, [114.0, 620.0, 568.0, 36.0], Yiq0eS3uM4, 6468688]
[paragraph, [111.0, 697.0, 1017.0, 36.0], 0-R87ipEnv, 6468688]
[paragraph, [191.0, 772.0, 853.0, 36.0], 2wjrgqh99B, 6468688]
[paragraph, [191.0, 808.0, 853.0, 36.0], 2wjrgqh99B, 6468688]
[paragraph, [191.0, 844.0, 853.0, 36.0], 2wjrgqh99B, 6468688]
[sub-section-title, [111.0, 936.0, 532.0, 36.0], gXyMBgO5yT, 6468688]
[paragraph, [106.0, 1002.0, 1022.0, 36.0], Sno4Pgh1A_, 6468688]
[paragraph, [106.0, 1038.0, 1022.0, 36.0], Sno4Pgh1A_, 6468688]
[paragraph, [111.0, 1192.0, 1019.0, 36.0], S5gjclTycu, 6468688]
[paragraph, [111.0, 1228.0, 1019.0, 36.0], S5gjclTycu, 6468688]
[paragraph, [193.0, 1308.0, 836.0, 36.0], -VyajdD-ir, 6468688]
[paragraph, [193.0, 1344.0, 836.0, 36.0], -VyajdD-ir, 6468688]
[paragraph, [193.0, 1380.0, 836.0, 36.0], -VyajdD-ir, 6468688]
[paragraph, [193.0, 1416.0, 836.0, 36.0], -VyajdD-ir, 6468688]
[paragraph, [193.0, 1452.0, 836.0, 36.0], -VyajdD-ir, 6468688]
[folio, [883.0, 1542.0, 244.0, 36.0], lj6ZgdFD5c, 6468688]
