[1951, 1219]
[folio, [239.0, 111.0, 209.0, 36.0], shoonya_1sYQHV79IU28IE, 5682922]
[paragraph, [115.0, 205.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 241.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 277.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 313.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 349.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 385.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 421.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 457.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 493.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 529.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [115.0, 565.0, 959.0, 36.0], K3kYoAy5RN, 5682922]
[paragraph, [187.0, 616.0, 182.0, 36.0], shoonya_2sT88CWC3ZK7IZ, 5682922]
[paragraph, [203.0, 673.0, 170.0, 36.0], 3LLRY4GsDL, 5682922]
[paragraph, [217.0, 728.0, 337.0, 36.0], OmfGeAkAa_, 5682922]
[paragraph, [202.0, 790.0, 592.0, 36.0], RJSv-rFDB7, 5682922]
[paragraph, [196.0, 850.0, 351.0, 36.0], Cwa8lLjRsP, 5682922]
[paragraph, [136.0, 959.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 995.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1031.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1067.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1103.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1139.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1175.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1211.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1247.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1283.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1319.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1355.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1391.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1427.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1463.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1499.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1535.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1571.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1607.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1643.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1679.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1715.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1751.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
[paragraph, [136.0, 1787.0, 957.0, 36.0], shoonya_0sKGOEM4LG8UNM, 5682922]
