[540, 960]
[section-title, [288.0, 0.0, 382.0, 30.0], shoonya_2sA8QJ80U5WJE0, 5715345]
[section-title, [288.0, 30.0, 382.0, 30.0], shoonya_2sA8QJ80U5WJE0, 5715345]
[paragraph, [9.0, 65.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[paragraph, [9.0, 83.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[paragraph, [9.0, 101.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[paragraph, [9.0, 119.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[paragraph, [9.0, 137.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[paragraph, [9.0, 155.0, 684.0, 18.0], sCLTYnVEPu, 5715345]
[unordered-list, [14.0, 226.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 244.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 262.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 280.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 298.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 316.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 334.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 352.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 370.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 388.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 406.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 424.0, 701.0, 18.0], az5YemKU3s, 5715345]
[unordered-list, [14.0, 442.0, 701.0, 18.0], az5YemKU3s, 5715345]
[folio, [0.0, 501.0, 98.0, 18.0], shoonya_1s3U7CPWSQ2S85, 5715345]
[folio, [0.0, 519.0, 98.0, 18.0], shoonya_1s3U7CPWSQ2S85, 5715345]
