[2428, 1814]
[section-title, [558.0, 112.0, 611.0, 52.5], shoonya_5sRU1VF6HP2AMM, 5694480]
[section-title, [558.0, 164.5, 611.0, 52.5], shoonya_5sRU1VF6HP2AMM, 5694480]
[sub-section-title, [285.0, 289.0, 234.0, 55.5], shoonya_7sUU8YTZ3CF5PC, 5694480]
[sub-section-title, [1054.0, 290.0, 247.0, 55.5], shoonya_4s1CY227MQ159E, 5694480]
[ordered-list, [751.0, 384.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 420.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 456.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 492.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 528.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 564.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 600.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 636.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 672.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 708.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 744.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 780.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 816.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 852.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 888.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 924.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
[ordered-list, [751.0, 960.0, 835.0, 36.0], shoonya_2sCKL54ENIDHYU, 5694480]
