[2200, 1700]
[paragraph, [399.0, 224.0, 897.0, 36.0], bGQp_vlGcw, 5685813]
[paragraph, [399.0, 260.0, 897.0, 36.0], bGQp_vlGcw, 5685813]
[paragraph, [399.0, 296.0, 897.0, 36.0], bGQp_vlGcw, 5685813]
[paragraph, [399.0, 332.0, 897.0, 36.0], bGQp_vlGcw, 5685813]
[paragraph, [399.0, 368.0, 897.0, 36.0], bGQp_vlGcw, 5685813]
[reference, [408.0, 443.0, 137.0, 36.0], VkvKLScYnv, 5685813]
[paragraph, [284.0, 543.0, 1131.0, 36.0], XLG5Mzr2E-, 5685813]
[paragraph, [284.0, 579.0, 1131.0, 36.0], XLG5Mzr2E-, 5685813]
[paragraph, [284.0, 615.0, 1131.0, 36.0], XLG5Mzr2E-, 5685813]
[paragraph, [284.0, 651.0, 1131.0, 36.0], XLG5Mzr2E-, 5685813]
[paragraph, [271.0, 724.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 760.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 796.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 832.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 868.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 904.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 940.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 976.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 1012.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 1048.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [271.0, 1084.0, 1144.0, 36.0], shoonya_0sND7C3UX4QXDY, 5685813]
[paragraph, [390.0, 1181.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1217.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1253.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1289.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1325.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1361.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1397.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1433.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1469.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1505.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1541.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1577.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[paragraph, [390.0, 1613.0, 906.0, 36.0], shoonya_4sK5Z2O512IFF1, 5685813]
[reference, [404.0, 1672.0, 158.0, 36.0], shoonya_3sLNOS97F6YG4D, 5685813]
[paragraph, [286.0, 1741.0, 1126.0, 36.0], shoonya_2s0VL1SGVFHFUH, 5685813]
[paragraph, [286.0, 1777.0, 1126.0, 36.0], shoonya_2s0VL1SGVFHFUH, 5685813]
[paragraph, [286.0, 1813.0, 1126.0, 36.0], shoonya_2s0VL1SGVFHFUH, 5685813]
[paragraph, [286.0, 1849.0, 1126.0, 36.0], shoonya_2s0VL1SGVFHFUH, 5685813]
