[1725, 1313]
[paragraph, [118.0, 136.0, 520.0, 36.0], CgS_JIbQb0, 5772118]
[paragraph, [118.0, 172.0, 520.0, 36.0], CgS_JIbQb0, 5772118]
[unordered-list, [671.0, 144.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 180.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 216.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 252.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 288.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 324.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 360.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 396.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 432.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 468.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 504.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 540.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 576.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 612.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 648.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 684.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 720.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 756.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 792.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 828.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 864.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 900.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 936.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 972.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1008.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1044.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1080.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1116.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1152.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1188.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1224.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1260.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1296.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1332.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1368.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1404.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1440.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1476.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[unordered-list, [671.0, 1512.0, 511.0, 36.0], shoonya_1sRA8BU6Z7OEJ0, 5772118]
[paragraph, [110.0, 262.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 298.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 334.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 370.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 406.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 442.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 478.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 514.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 550.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 586.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 622.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[paragraph, [110.0, 658.0, 528.0, 36.0], shoonya_0sKVU75QL5N3DE, 5772118]
[unordered-list, [126.0, 778.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 814.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 850.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 886.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 922.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 958.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 994.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1030.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1066.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1102.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1138.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1174.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1210.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1246.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1282.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1318.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1354.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1390.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1426.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1462.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[unordered-list, [126.0, 1498.0, 517.0, 36.0], shoonya_3sDKSWFQ3NM8RL, 5772118]
[folio, [585.0, 1577.0, 142.0, 36.0], pzdgOS2wiM, 5772118]
[folio, [71.0, 1672.0, 294.0, 36.0], G3W11c_csf, 5772118]
