[797, 593]
[folio, [81.0, 88.0, 61.0, 18.0], 3xUAV2EGzZ, 6466405]
[placeholder-text, [70.0, 114.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 132.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 150.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 168.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 186.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 204.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 222.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 240.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 258.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 276.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 294.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 312.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 330.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 348.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 366.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 384.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 402.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 420.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 438.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 456.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 474.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 492.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 510.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 528.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 546.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 564.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 582.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 600.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 618.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 636.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 654.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 672.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 690.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 708.0, 506.0, 18.0], ru6Z149hqi, 6466405]
[placeholder-text, [70.0, 726.0, 506.0, 18.0], ru6Z149hqi, 6466405]
